"ID","Date","Year","Time","Age","Sex","Dispositon","TotL..ft.","TotL..cm.","SVL...cm.","lbs","kg","Easting","Northing","General.Location","Method","Association","Additional.ID","County","Designation","Observer","Scout","Egg.Count","Follicle.Status","Comments","Phenotype","Size.Est.","X..Hidden","Snake.Temp","Ground.Temp","Microhabitat","Burrow.Feature","Behavior","Condition","NEW.ID.","Method_Grouped","x","y"
"E29-BP01-28SEP08",2008-09-28,"2008","21:30","adult","Male","alive","8.7",266,233,18.5,8.4,"508575","2849241","Loop Road","","","PTA-1697","Monroe","597","Chris Ruff","",NA,"","Python caught by visitor who was shining culverts. Ranger Chris Ruff saw individual and confiscated the snake. Was test animal.","","","","","","","","","","","",-80.9144887148438,25.7611957980701
"EDD-E29-BP01-05NOV08",2008-11-05,"2008","N/A","adult","Male","dead","8",243,211,17,7.7,"487784","2860826","Tamiami Trail","","","PTA-1837; IN-0000151830","Collier","BCNP","FWCC Exotic Species Database, D. Hagrove and A. Johnson","",NA,"","BCNP, found dead on south side of HWY 41 - 1/2 mile west of monument campground","","","","","","","","","","","",-81.1219269213303,25.8657833352243
"EDD-E29-BP01-06NOV08",2008-11-06,"2008","N/A","juvenile","Male","dead","6",183,160,NA,NA,"488587","2860740","Tamiami Trail- Monument Lake Campground","","","PTA-996; IN-0000151626","Collier","BCNP","FWCC Exotic Species Database","",NA,"","","","Y","","","","","","","","","",-81.1139115109707,25.8650132648512
"E29-BP01-17NOV08",2008-11-17,"2008","11:45","adult","Male","dead","9.9",303,263,30.9,14,"505172","2847502","Loop Road","","","PTA-1498","Monroe","BCNP","Lt. Seifert","",NA,"","No ext parasites obs. Head severed but saved.","","","","","","","","","","","",-80.9484307478094,25.7455083202753
"BP01-27DEC08",2008-12-27,"2008","N/A","adult","Female","dead","7.8",237,206,15.7,7.1,"429847","2878321","Collier Blvd across from empty Fiddler's lot","","","PTA-261; IN-0000150402","Collier","Fiddler's Creek","Wendel","",NA,"","Reports of other pythons found in the past at Fiddler's Creek, across from Shell Island Rd. Examined 16-Jan-2009: Immature, non-reproductive. No AVID tag. Paul Data coordinates: 429837, 2878208","","","","","","","","","","20081227.01","",-81.7011060354913,26.0221127382402
"EDD-BP01-14JAN09",2009-01-14,"2009","16:00","adult","Male","dead","10.1",307,266,32.3,14.6,"445679","2892489","Alligator Alley and Everglades Blvd S","","","PTA-1671; IN-0000151724","Collier","PSSF","FWCC Exotic Species Database, Amanda Peck, DOF","",NA,"","EDDMaps date: 17JAN09","","","","","","","","","","","",-81.5434788121469,26.1507213652186
"OBS-BP01-27JAN09",2009-01-27,"2009","19:20","adult","Male","alive","12",360,317,NA,NA,"440302","2875071","San Marco Rd","","","","Collier","CSSP","CSSP - MP/CK","",NA,"","Had recently consumed something, but got away","","Y","","","","","","","","","",-81.5964758642328,25.9932363662492
"OBS-BP01-26FEB09",2009-02-26,"2009","N/A","juvenile","Male","alive","5",152,133,NA,NA,"436973","2875599","Curcie Rd","","","","Collier","CSSP","CSSP - MC","",NA,"","6-8 in. in diameter on right hand side of rd. ","","Y","","","","","","","","","",-81.62976160628,25.997862873574
"OBS-EDD-E29-BP01-18MAR09",2009-03-18,"2009","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"462724","2941860","Keri Rd","","","IN-0000150431","Hendry","Expansion","Data Historical","",NA,"","","","N/A","","","","","","","","","",-81.3743818142418,26.5970443973558
"OBS-BP01-02JUN09",2009-06-02,"2009","19:25","N/A","Male","alive",NA,NA,NA,NA,NA,"440760","2875152","Tamiami Trail","","","","Collier","CSSP","CSSP - Visitor.JEI","",NA,"","","","N/A","","","","","","","","","",-81.5919035917269,25.9939865429433
"OBS-BP01-18JUN09",2009-06-18,"2009","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"439877","2874988","San Marco Rd","","","","Collier","CSSP","CSSP - Visitor/CK","",NA,"","Goodland resident saw on the way home","","N/A","","","","","","","","","",-81.6007182791505,25.9924693567751
"BP01-09JUL09",2009-07-09,"2009","N/A","hatchling","Male","alive","2.5",75,64,NA,NA,"442511","2874409","Tamiami Trail","Road Cruising","","","Collier","CSSP","PTA","",NA,"","","","Y","","","","","","","","","Road Cruising",-81.5743763631704,25.9873482159248
"BP01-26JUL09",2009-07-26,"2009","N/A","hatchling","Male","dead","2.5",75,64,NA,NA,"442511","2874409","Tamiami Trail","Road Cruising","","PTA-1662; IN-0000150202","Collier","CSSP","PTA","",NA,"","A D.O.R. Burmese python male hatchling found at 4:20 am, on U.S. 41, by Paul Andreadis, Denison University. Carcass recovered and retained by Paul for submission to the Florida Museum of Natural History; Coordinates from EDDmaps: 442510, 2874396; Tamiami Trail ~ 1.5 miles East of entrance to Collier Seminole SP  25 59.234', 81 34.463'","","Y","","","","","","","","","Road Cruising",-81.5743763631704,25.9873482159248
"OBS-EDD-BP01-23AUG09",2009-08-23,"2009","618-8896938","N/A","Male","alive",NA,NA,NA,NA,NA,"417805","2940809","Six Mile Cypress Pkwy","","","IN-0000150366","Lee","Expansion","Data Historical","",NA,"","","","N/A","","","","","","","","","",-81.8254307650081,26.5856545323971
"OBS-EDD-E29-BP01-16SEP09",2009-09-16,"2009","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"506560","2919135","Li Dike Rd; South of Lake O","","","IN-0000150218","Hendry","Expansion","Data Historical","",NA,"","","","N/A","","","","","","","","","",-80.9342309189215,26.3923321484191
"EDD-BP01-16OCT09",2009-10-16,"2009","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"455844","2936818","Morris Taylor Rd - Felda","","","IN-0000150379","Hendry","Expansion","Jash Zarmati","",NA,"","","","N/A","","","","","","","","","",-81.443304344632,26.5513223526989
"E29-BP01-09NOV09",2009-11-09,"2009","15:00","adult","Male","dead","12.6",384,336,57.8,26.2,"509358","2915802","canal North of 75","","","PTA-105; IN-0000150217","Hendry","Expansion","Frank Ferrano, SFWMD","",NA,"","STA-5, near G-600, within 600' north.","","","","","","","","","","","",-80.9062031312115,26.3622216004645
"OBS-EDD-BP01-15NOV09",2009-11-15,"2009","N/A","adult","Male","alive","9",274,241,NA,NA,"438740","2874753","San Marco Rd","","","IN-0000150381","Collier","CSSP","Matthew Kemmer","",NA,"","Driving north on S.R. 92. Headlights picked up large snake on side of road, by guard railing. Turned back around for a closer look - did not leave vehicle, but shined lights on snake long enough to identify it as a python, roughly 8-10 feet long and estimated 16-18"" in diameter at thickest section. Assumed it to be a Burmese Python based on comparing markings to pictures. Snake made a leisurely retreat into forest after 30-45 seconds of observation. ","","","","","","","","","","","",-81.6120670975685,25.9902998380658
"EDD-E29-BP01-18NOV09",2009-11-18,"2009","9:00","adult","Male","alive","7.8",239,205,14.4,6.5,"490964","2879325","1/2 mi wsw of hogs breath inn camp","","","PTA-1663; IN-0000151827","Collier","BCNP","FWCC Exotic Species Database","",NA,"","","","","","","","","","","","","",-81.0903149849955,26.0328508815577
"OBS-EDD-E29-BP01-15DEC09",2009-12-15,"2009","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"501678","2907772","W Feeder Rd.; South of Lake O","","","IN-0000150383","Hendry","Expansion","Data Historical","",NA,"","","","N/A","","","","","","","","","",-80.9831915753505,26.2897448282539
"BP01-10JAN10",2010-01-10,"2010","N/A","N/A","Male","dead",NA,NA,NA,NA,NA,"433044","2877743","Fiddler's creek- peninsula of developing land","","","","Collier","Fiddler's Creek","Fiddler's work crew","",NA,"","hard freeze killed python","","N/A","","","","","","","dead-weather","","",-81.6691275430004,26.0170452936603
"EDD-E29-BP01-12JAN10",2010-01-12,"2010","N/A","adult","Male","dead","7.6",233,201,13.9,6.3,"467289","2863798","Sea Grape Dr.","","","PTA-1308; IN-0000151923","Collier","BCNP","FWCC Exotic Species Database, K. Melchiors, R.J. Sheehase","",NA,"","Shot by Ranger - seen by EVER employee Kent M Melchiors (695-3311)","","","","","","","","","","","",-81.3265578564393,25.8923041508184
"OBS-BP01-16JAN10",2010-01-16,"2010","N/A","N/A","Male","alive","10-12'",NA,NA,NA,NA,"440541","2874454","Near boat ramp, bottom left corner","","","","Collier","CSSP","CSSP Visitor","",NA,"","","","Y","","","","","","","","","",-81.5940599748918,25.9876750622557
"BP02-19JAN10",2010-01-19,"2010","13:30","adult","Male","dead","11.3",343,302,NA,NA,"438644","2876735","Tamiami Trail","","","","Collier","CSSP","CSSP Visitor; FWC-Officer Shea","",NA,"","","","","","","","","","","","","",-81.6131191100083,26.008191933976
"OBS-EDD-BP01-19JAN10",2010-01-19,"2010","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"439073","2876407","Tamiami Trail","","","IN-0000150391","Collier","CSSP","","",NA,"","Collier Seminole State Park; EDDmaps cooridantes: 439108, 2876377","","N/A","","","","","","","","","",-81.6088171153967,26.0052484237277
"OBS-EDD-BP01-22JAN10",2010-01-22,"2010","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"437778","2877343","Tamiami Trail","","","IN-0000150399","Collier","CSSP","Corrie Billie","",NA,"","This report was relayed to me from our Project Leader. The original report came from Corey Billie (Corey Billie's Airboat Rides of Naples, Fl) back on 27 Jan 2010; EDDmaps coordinates:  437790, 2877357","","N/A","","","","","","","","","",-81.6218013987871,26.0136448046303
"OBS-BP01-23JAN10",2010-01-23,"2010","11:00","adult","Male","alive",NA,NA,NA,NA,NA,"440563","2875125","San Marco Rd, near Iron Rhino","","","","Collier","CSSP","CSSP - Visitor","",NA,"","","","N/A","","","","","","","","","",-81.5938706312461,25.9937346821597
"BP01-26JAN10",2010-01-26,"2010","N/A","adult","Male","alive","8.3",251,221,NA,NA,"440664","2874513","parking lot","Opportunistic","","","Collier","CSSP","CSSP-MP, MK","",NA,"","Found sunning, caught alive and given to FWC officer","","","","","","","","","","","Miscellaneous",-81.5928337964074,25.9882128369579
"EDD-E29-BP01-08FEB10",2010-02-08,"2010","N/A","adult","Female","dead","11.5",351,311,42.3,19.2,"467766","2864816","Tamiami Trail canal North of Big Cypress HQ Ochopee, 33100 Tamiami Trail East","","","PTA-1815; IN-0000151957","Collier","BCNP","FWCC Exotic Species Database, D.Jansen","",NA,"","","","","","","","","","","","","",-81.3218208992997,25.9015071765207
"SNOW-BP02-23FEB10",2010-02-23,"2010","N/A","adult","Male","N/A","10.4",318,279,30.1,13.7,"514438","2852750","SWFL","","","1650","Collier","","SS","",NA,"","Girth 31.5 cm","","","","","","","","","","","",-80.8559837998276,25.7928363711208
"OBS-BP01-04MAR10",2010-03-04,"2010","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"433474","2875983","Road to Nowhere","","","IN-0000150382","Collier","RBNERR","FWCC Exotic Species Database, Greg Curry?","",NA,"","Two other small snakes, possibly males, were observed in the area, but were not captured; EDDmaps coordinates: 433611, 2875927","","N/A","","","","","","","","","",-81.6647410685165,26.0011736590001
"BP01-11MAR10",2010-03-11,"2010","N/A","adult","Female","alive","8.9",271,235,18.6,8.4,"428521","2871533","Marco Island","","","PTA-777; IN-0000150394","Collier","Marco Island","GC","",NA,"","Inv. Mahoney reported that the snake was healthy, well fed, and tame until captured. Probably a recent release or escape; EDDmaps coordinates: 428537, 2871462","","","","","","","","","","","",-81.7139867398538,25.9607578673975
"EDD-E29-BP01-15MAR10",2010-03-15,"2010","N/A","adult","Male","dead","10.2",310,270,31.5,14.3,"465912","2864928","Tamiami Trail","","","PTA-1141; IN-0000151950","Collier","BCNP","FWCC Exotic Species Database, T. Iandimarino","",NA,"","","","","","","","","","","","","",-81.3403336905592,25.9024762589203
"OBS-EDD-BP01-25MAR10",2010-03-25,"2010","N/A","adult","Male","alive","9.5",290,254,NA,NA,"442110","2874441","Tamiami Trail","","","IN-0000150418","Collier","CSSP","","",NA,"","Snake observed on US-41, captured, and euthanized. Snout-vent length 9.5 ft. No photographs available, but NBC news affiliate in Naples had video to verify identification; EDDmaps coordinates: 442286, 28744369","","","","","","","","","","","",-81.5783840323393,25.9876211965566
"BP01-26MAR10",2010-03-26,"2010","N/A","adult","Male","alive","9",274,241,NA,NA,"441262","2874696","Tamiami Trail","","","","Collier","CSSP","CSSP Visitor","",NA,"","found out about snake via news report; passerby stopped and killed snake","","","","","","","","","","","",-81.5868675572381,25.9898895754454
"EDD-E29-BP01-29MAR10",2010-03-29,"2010","N/A","adult","Female","dead","12",366,322,NA,NA,"473419","2889058","Turner River Rd","","","PTA-1494; IN-0000150419","Collier","BCNP","Tad Bartareau","",NA,"","FWC biologist Tad Bartareau found a dead burmese python on the side of Turner River Road. Vultures were feeding on carcass and had eaten flesh on head and started opened up holes along length of carcass. Carcass measured 12 feet head to tail. Animal apparently hit by vehicle as crushed behind head, two pictures taken of carcass prior to measuring. Carcass left for vultures to eat; EDDmaps coordinates: 473504, 2885063; Big Cypress NP, Turner River Rd.  6.1 mi N of Upper mason wheel rd on Turner river rd.  26.08445, 81.26494; Paul Data coordinates: 473517, 2885079; Thought to be female, skull taken to Deb Tansen, nothing else recovered","","","","","","","","","","","",-81.2658750050061,26.1205206282325
"E29-BP01-25APR10",2010-04-25,"2010","23:30","adult","Male","alive","7.6",231,202,10.9,5,"500355","2849158","Loop Road","","","PTA-1822","Monroe","BCNP","C. Gillette, VIP","",NA,"","Examined May 13, 2010.","","","","","","","","","","","",-80.9964599033159,25.7604713656141
"EDD-E29-BP01-07MAY10",2010-05-07,"2010","9:00","adult","Female","dead","8.8",269,235,18.7,8.5,"506647","2858716","Tamiami Trail","","","PTA-1673; IN-0000150430","Collier","BCNP","Jim Burch, Skip Snow, Gareth","",NA,"","A DOR estimnated 2.0 meter total length python observed on US 41 at about 0900 hrs by Jim Burch (BCNP). Observation only, nothing recovered. A photo was taken by Jim Burch and provided to Skip Snow (ENP) inserted into a word document. PyMo_1698; Head too damaged to measure.  Examined on May 13. 2010.  Severly damaged head and neck, some scavenging. Last meter of snake severely damaged.","","","","","","","","","","","",-80.9336674143068,25.8467660087141
"E29-BP01-31MAY10",2010-05-31,"2010","N/A","adult","Female","alive","14.9",455,404,63.1,28.6,"509615","2848163","S of Loop Road","","","PTA-803, 1712","Monroe","BCNP","Alan Buckhalt","",NA,"","Examined July 6, 2010. No ectoparasites observed.  Avid and Biomark scans negative.","","","","","","","","","","","",-80.9041254944655,25.7514548336777
"E29-BP01-30JUN10",2010-06-30,"2010","N/A","adult","Male","dead","8",246,214,14.1,6.4,"509127","2844847","Tiger Hammock","","","PTA-886","Monroe","BCNP","Jim Burch","",NA,"","Reported by Jim Burch, 239-695-1111  Examined 25 Oct 2010.  AVID and Biomark scans negative.","","","","","","","","","","","",-80.9090143073429,25.721513888162
"OBS-EDD-BP01-15JUL10",2010-07-15,"2010","N/A","adult","Male","alive","9",274,241,NA,NA,"421636","2897165","Royal Poinciana Gold Club?","","","IN-0000150483","Collier","Development","FWCC Exotic Species Database","",NA,"","Surveryors observed a large, 8-10 ft, python on golf course. ","","","","","","","","","","","",-81.7842949905614,26.191831618689
"BP01-10OCT10",2010-10-10,"2010","20:10","adult","Male","dead","7",213,186,11.3,5.1,"440556","2875138","near entrance","","","PTA-1475; IN-0000150550; 1815","Collier","CSSP","FWCC Exotic Species Database, Henry Gonzalez","",NA,"","DOR snake collected by Collier-Seminole State Park employees. Snake was scanned for a microchip and none was found; EDDmaps coordinates: 440525, 2875162, Paul Data coordinates: 440525, 2875162; Carcass received from Greg Curry, RBNERR; See EDDMAPS #1292040; Examined 26 Nov 2010.  Scan for microchips negative.","","","","","","","","","","","",-81.5939411595592,25.9938517769654
"OBS-BP01-10OCT10",2010-10-10,"2010","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"445680","2892522","Alligator Alley and Everglades Blvd S","","","","Collier","PSSF","","",NA,"","","","N/A","","","","","","","","","",-81.5434701878097,26.1510193686831
"BP01-11NOV10",2010-11-11,"2010","N/A","adult","Male","alive","12.8",390,347,64.4,29.2,"433880","2880180","Tamiami Trail and Joseph Ln","","","PTA-1033; IN-0000150551","Collier","Development","Greg Curry, WO Tidwell","",NA,"","Snake collected alive by private citizen presumably struck by a vehicle on US-41. Snake was 12'5"" TL and 10'11"" SVL. Snake was eunthanized and turned over to Greg Curry FLDEP. Coordinates adjusted from those reported by WO Tidwell; EDDmaps coordinates: 433895, 2880157; Paul Data coordinates: 434442, 2880185; Killed by FWC Officer J. Tidwell.  Thought to have been hit by vehicle - when officer got it, it was injured & bleeding.  Carcass received from Greg Curry, RBNERR.  Head somewhat damaged.  Examined 26 Nov 2010.  What appear to be blade cuts to head and neck.  Neck severed.  AVID and Biomark scans negative.","","","","","","","","","","","",-81.6608966596299,26.0390879372688
"EDD-E29-BP01-13NOV10",2010-11-13,"2010","N/A","adult","Male","dead","9.8",300,263,NA,NA,"510554","2894779","Alligator Alley canal","","","IN-0000150392","Collier","BCNP","FWCC Exotic Species Database","",NA,"","","","","","","","","","","","","",-80.8943873252868,26.1723858510694
"BP01-15NOV10",2010-11-15,"2010","N/A","adult","Male","dead","10",305,268,NA,NA,"433218","2877796","Fiddler's creek- peninsula of developing land","","","","Collier","Fiddler's Creek","","",NA,"","bush hog killed python","","","","","","","","","dead-machine","","",-81.6673914672813,26.0175318805336
"EDD-E29-BP01-29NOV10",2010-11-29,"2010","13:24","N/A","Male","dead",NA,NA,NA,NA,NA,"502459","2859183","Tamiami Trail","","","PTA-1155; IN-0000152041, 1837","Collier","BCNP","FWCC Exotic Species Database","",NA,"","DOR, West Bound Lane of Tamiami Trail, Big Cypress, Coller Co. (25.85100 / -80.97546) Contact - Annette 239-340-0216; Examined 3-11-2011 Badly damaged and scavenged.","","N/A","","","","","","","","","",-80.9754599593043,25.8509961158134
"EDD-E29-BP01-11DEC10",2010-12-11,"2010","N/A","adult","Male","dead","8.5",259,215,NA,NA,"468875","2865624","Birdon Road","","","IN-0000150420, 1856","Collier","BCNP","Nathaniel Hawley, FWCC Exotic Species Database","",NA,"","Hunter found while hunting, pyhton brought to Dona Drive check station (Big Cypress Preserve) and NPS Park Ranger Nathaniel Hawley took snake to Oasis Visitor Center. Snake 8’ 6"" TL, 7’ ¾"" SVL ","","","","","","","","","","","",-81.3107680065351,25.9088274398177
"SNOW-BP01-15DEC10",2010-12-15,"2010","N/A","adult","Male","N/A","10.8",328,288,38.9,17.6,"N/A","N/A","SWFL","","","1867","Collier","","SS","",NA,"","Girth 33 cm","","","","","","","","","","","",NA,NA
"BP01-02JAN11",2011-01-02,"2011","N/A","adult","Female","alive","10.4",316,275,45,20.4,"428773","2878480","Shell Island Rd","","","IN-0000150560","Collier","RBNERR","FWC, GC","",NA,"","FWC Wildlife Officer killed and contacted Greg Curry (FDEP). Snake will be headed to Skip Snow (ENP); EDDmaps coordinates: 428837, 2878325","","N/A","","","","","","","","","",-81.7118475503002,26.0234959099994
"BP01-11JAN11",2011-01-11,"2011","15:45","adult","Male","alive","8",244,214,NA,NA,"438360","2876448","41 South","","","","Collier","Six L's Agricultural","CSSP-KW, MP","",NA,"","found sunning and caught live; given to FWC","","","","","","","","","","","",-81.6159434200573,26.0055884557074
"SNOW-BP01-17FEB11",2011-02-17,"2011","N/A","adult","Male","N/A","7.7",234,205,10.7,4.8,"N/A","N/A","SWFL","","","1935","Collier","","SS","",NA,"","Girth 20 cm","","","","","","","","","","","",NA,NA
"BP01-25FEB11",2011-02-25,"2011","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"418789","2899819","Clam Pass Beach Path Boardwalk","","","","Collier","Development","Susan Ruch","",NA,"","In February, 2011 my family saw a very large snake with a very large girth. Could not see the entire length. At the time I did not know the species, but this year, 2014, on a ENP mangrove tour I asked the naturalist what he thought the snake might be and he answered a Burmese Python. The snake was transferring itself from beneath the boardwalk onto Mangrove trees. I cannot say what it was, except that it was large around and very heavy as we saw the tree branch bend under it's weight. If it was a python I thought to let you know as it was in the midst of a residential area. Sorry this is so late but we only visit Florida for a shore time each year. ","","N/A","","","","","","","","","",-81.8129529498706,26.2156356358035
"SNOW-BP01-02MAR11",2011-03-02,"2011","N/A","adult","Female","N/A","11.4",346,312,58.8,26.7,"517869","2885992","SWFL","","","1932","Collier","","SS","",NA,"","Girth 40 cm","","","","","","","","","","","",-80.8213079674521,26.0929699973262
"SNOW-BP01-28MAR11",2011-03-28,"2011","N/A","adult","Female","N/A","14.8",451,NA,92.4,41.9,"516165","2864731","SWFL","","","1946","Collier","","SS","",NA,"","Girth 43.5 cm","","","","","","","","","","","",-80.838610608332,25.9010069126639
"OBS-EDD-BP01-02APR11",2011-04-02,"2011","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"463891","2870287","Jane's Scenic Dr","","","IN-0000150600","Collier","FSSP","FWCC Exotic Species Database","",NA,"","Reports that children in the area that the snake was their released pet. ","","N/A","","","","","","","","","",-81.3606582429113,25.9508180537499
"OBS-EDD-BP01-07APR11",2011-04-07,"2011","N/A","adult","Male","dead","15",457,403,NA,NA,"430280","2877726","Fiddler's Creek","","","IN-0000150869","Collier","Fiddler's Creek","Gary Hyatt","",NA,"","On public street, Fiddler's Creek Blvd. about 100 yards west of the entrance station gate. Python stretched across Fiddler's Creek Blvd. of Collier Blvd. in the early evening. Animal was stretched across one whole lane of the street and was still somewhat coiled. Probably 15-18feet long. This observation was a couple of years ago; I was unaware of this reporting option until now. ","","Y","","","","","","","","","",-81.6967471873824,26.0167613092893
"SNOW-BP01-07AUG11",2011-08-07,"2011","N/A","hatchling","Female","N/A","3.7",114,99,1.2,0.5,"478557","2861894","SWFL","","","2003","Collier","","SS","",NA,"","","","","","","","","","","","","",-81.2140378457973,25.8753207659239
